"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043549","regulation of kinase activity","134/3836","460/18986",0.291304347826087,1.44178945459491,4.82660451382389,2.45483934746842e-06,8.14231450933999e-05,6.1527386193613e-05,"ABI1/ABL1/ACTB/ADARB1/ADCYAP1/AGAP2/ALS2/ANGPT1/BCCIP/C5AR1/CALM1/CAMK1/CAMKK2/CARTPT/CAV1/CCDC88A/CCND2/CCNT1/CD24/CDC37/CDK5R1/CDK5R2/CDKN2C/CDKN3/CHI3L1/CHP1/CNPPD1/COPS8/DDR2/DNAJA3/DTNBP1/DUSP1/DVL2/ECT2/EEF1A2/EFNA1/EGFR/EMP2/EPHA4/ERP29/FBXW7/FERMT2/FGF1/FGF2/FGFR1/FGR/FLT1/GPRC5B/GSKIP/GTPBP4/HEG1/HSPB1/HTT/IGF1/IPO5/IPO7/IRAK3/IRS2/ITGB1BP1/KAT2B/LATS1/LATS2/LDB2/LMO4/LRRK2/LTF/MAGED1/MAP2K1/MAP3K11/MAP3K13/MAP3K5/MAPRE3/MAPT/MIDN/MMD/MNAT1/NBN/NLRC5/NPM1/NPRL2/NR2F2/NRBF2/NRG1/NTRK3/PAK1/PDCD10/PDGFA/PIH1D1/PINK1/PKIA/PKIB/PPIA/PPM1E/PPP2CA/PRDX3/PRNP/PSMD10/PTPN2/PTPRC/PTPRO/PTPRT/RALB/RAP1A/RAP2C/RASSF2/RBL2/RGCC/RGS2/S100A12/SASH1/SFN/SH3BP5/SLC8A1/SLC8A2/SLC8A3/SNCA/SPRED1/SRCIN1/STK11/SYAP1/TAF7/TAOK3/TGFB2/THY1/TNFAIP3/TNFRSF10B/TPD52L1/TSG101/UCHL1/VPS25/WWTR1/XRCC5/XRCC6/ZNF622",134
"GO:0009895","negative regulation of catabolic process","111/3836","367/18986",0.302452316076294,1.49696550391672,4.83748224048912,2.66532983370998e-06,8.79419299059702e-05,6.64533048647228e-05,"ACACB/AGAP2/ANXA2/APOC1/AQP11/ATP13A2/ATP2B4/AZIN1/BAG5/BCL2/CCAR2/CIRBP/CNR1/CSNK2A2/CSNK2B/DDIT4/DHX36/DND1/EGFR/EIF3H/EIF4ENIF1/ELAVL1/ELAVL4/EP300/FEZ2/FLCN/FOXK2/FXR1/FYN/GABARAPL2/GPLD1/GRIN2A/HDAC4/HERC1/HGF/HIPK2/HMGCR/HMOX1/HSP90AB1/IGF2BP2/IRAK3/LAPTM4B/LARP1B/LARP4B/LRPPRC/LRRK2/LYPLA1/MAPKAPK2/MCL1/MDM4/MET/MTMR2/MTOR/N4BP1/NELL1/NQO1/NUPR1/OGT/PARK7/PARN/PIN1/PINK1/POLDIP2/PPARA/PPP2CA/PRKCG/PSMF1/PTPN3/QKI/RELA/RNF41/ROCK1/RPS7/RRAGA/RRAGB/RRAGC/SCFD1/SEC22B/SERPINE2/SIRT2/SLC11A1/SLC7A5/SLIRP/SMARCC1/SNCA/SNX3/SORL1/STAT3/SVIP/SYNCRIP/TAB3/TAF15/TIMP1/TIMP2/TOB1/TRAF5/UBQLN4/UBXN2A/UCHL5/UPF3A/USP14/USP25/USP36/USP9X/VIP/VPS13C/VPS35/WNK1/YBX3/ZCCHC17/ZFP36",111
"GO:0097401","synaptic vesicle lumen acidification","13/3836","18/18986",0.722222222222222,3.57458579538872,5.4988406491683,2.80509280590148e-06,9.20713274103703e-05,6.957368340953e-05,"ATP6AP1/ATP6AP2/ATP6V0A1/ATP6V0C/ATP6V0D1/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1G1/ATP6V1H/CLCN3",13
"GO:0055017","cardiac muscle tissue growth","38/3836","92/18986",0.41304347826087,2.04432833114204,5.05251139531538,3.03922252384569e-06,9.87277337385337e-05,7.46035957562556e-05,"ABL1/AKAP6/BMPR1A/CITED2/ERBB4/FGF2/FGF9/FGFR1/FGFR2/FOXC1/HEG1/HEY2/IGF1/JARID2/MAP2K4/MEF2C/NDRG4/NOTCH1/NRG1/PARP2/PDLIM5/PPARA/PRKAR1A/RBP4/RGS2/RGS4/S1PR1/SAV1/SKI/SMAD1/SORBS2/TGFB2/TGFBR1/TGFBR3/VGLL4/YAP1/YY1/ZFPM2",38
"GO:0140029","exocytic process","38/3836","92/18986",0.41304347826087,2.04432833114204,5.05251139531538,3.03922252384569e-06,9.87277337385337e-05,7.46035957562556e-05,"BLOC1S6/CPLX1/CPLX2/DOC2A/ERC2/EXOC1/EXOC2/EXOC3/EXOC6/EXOC6B/EXOC7/EXOC8/GNAO1/KCNB1/NAPA/NAPB/RABEPK/RALB/RIMS1/RPH3A/SCRIB/SNAP25/SNAP29/SNCA/SNX4/STX1A/STXBP1/SYNGR3/SYNJ1/SYP/SYT1/SYT4/SYT5/TPRG1L/UNC13A/UNC13B/VAMP7/VAMP8",38
"GO:0070050","neuron cellular homeostasis","30/3836","66/18986",0.454545454545455,2.24973931178311,5.1176327446249,3.19301959473866e-06,0.000103191843518169,7.79768995767756e-05,"ATP2A2/ATP2B3/ATP6AP1/ATP6AP2/ATP6V0A1/ATP6V0C/ATP6V0D1/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1G1/ATP6V1H/CA2/CACNB2/CACNB4/CALB1/CHMP2B/CLCN3/CNR1/CX3CL1/ERC2/HEXB/IMMT/NELL2/SLC24A2/SLC8A2/SV2B/TAOK1",30
"GO:0006403","RNA localization","69/3836","204/18986",0.338235294117647,1.67407072317978,4.87066111800592,3.38929096990167e-06,0.0001086773295286,8.21220061780533e-05,"AGFG1/AKAP8L/ATR/BICD1/BICD2/CAPRIN1/CCT2/CCT4/CCT5/CCT6A/CCT7/CCT8/CETN2/CKAP5/CPSF6/DDX25/DHX36/EIF4A3/EIF4E/ENY2/FLOT1/FXR1/G3BP2/IGF2BP2/KHDRBS1/KHSRP/KPNB1/LRPPRC/MRPL18/NHP2/NOP10/NUP107/NUP133/NUP50/NUP85/NUP93/PARN/PARP11/PCID2/PEG10/PIH1D1/PRPF6/QKI/RAN/RANBP2/RBFOX1/RBM33/RBM8A/RFTN1/RUVBL2/SEH1L/SHQ1/SIDT1/SLBP/SRSF1/SRSF3/SRSF7/STAU2/THOC2/THOC5/TOMM20/UPF3A/WNK1/XPO5/YY1/ZFP36/ZFP36L1/ZNHIT3/ZNHIT6",69
"GO:0035418","protein localization to synapse","37/3836","89/18986",0.415730337078652,2.05762674133871,5.03233192122035,3.39724435371854e-06,0.0001086773295286,8.21220061780533e-05,"ABHD17B/BSN/CACNG3/CDK5/CPLX1/DLG1/DLG3/DVL1/ERBB4/GABARAP/GPSM2/GRIN2A/HOMER1/HSPB1/LGI1/LHFPL4/LRRC7/LRRTM1/MAPT/NETO1/NETO2/NPTX1/NRXN1/NSG1/OGT/OLFM1/PCLO/PRKCZ/RAB11A/RAB27B/RAP1A/SCRIB/SLITRK3/STAU2/VPS26B/VPS35/ZDHHC2",37
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","135/3836","467/18986",0.289079229122056,1.43077639314686,4.74285506734337,3.50694992597238e-06,0.000111620194108474,8.43457813136579e-05,"AGAP3/AKIRIN2/AMN1/ANAPC10/ANAPC13/ANAPC16/ANAPC5/ANAPC7/ANKRD9/ARIH2/ARMC8/ARRB1/BAG5/BBS7/CCAR2/CDC16/CDC23/CDC27/CLOCK/CLU/COMMD1/CRBN/CSNK1A1/CSNK2A2/CSNK2B/CTNNB1/CUL1/CUL2/CUL3/DCAF13/DET1/DVL1/EIF3H/FAF1/FBXL16/FBXL17/FBXL2/FBXO22/FBXO3/FBXO45/FBXO7/FBXO9/FBXW7/GABARAP/GNA12/GSK3B/HSP90AB1/KBTBD6/KCMF1/KLHDC10/KLHDC2/KLHL21/KLHL24/KLHL29/KLHL5/KLHL7/LRRK2/MAPK9/N4BP1/NEDD4L/NEMF/NSFL1C/OGT/PARK7/PCBP2/PJA2/PRICKLE1/PSMA1/PSMA3/PSMA5/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD1/PSMD10/PSMD11/PSMD12/PSMD13/PSMD14/PSMD4/PSMD6/PSMD7/PSMD8/PSMF1/RAD23B/RBX1/RCHY1/RHOBTB3/RNF187/RNF216/RNF34/RNF4/RNF7/SIRT2/SKP1/SMARCC1/SMURF2/SOCS7/SUMO1/TBL1X/TBL1XR1/TRIM38/TRIM9/UBE2B/UBE2D3/UBE2G1/UBE2K/UBE2N/UBE2S/UBE2W/UBE3A/UBQLN4/UBR3/UBXN2A/UBXN7/UCHL1/UCHL5/USP14/USP25/USP9X/VCP/WWTR1/ZFAND2A/ZNRF1",135
"GO:0048638","regulation of developmental growth","100/3836","325/18986",0.307692307692308,1.52290045720703,4.78444458914307,3.59993302567462e-06,0.000113509388969001,8.57733510991932e-05,"ABL1/ACACB/ADRB1/AFG3L2/AKAP6/ATP8A2/ATRN/BASP1/BCL2/BDNF/BMPR1A/BMPR2/CDK5/CDKL3/CITED2/CLASP2/CPNE6/CTTN/CXCR4/DCC/DLL1/EFNA5/ERBB4/FGF13/FGF2/FGF9/FGFR1/FGFR2/FGFR3/FN1/FOXC1/GNAS/GPAM/GSK3B/HEY2/HOPX/IFRD1/IGF1/JARID2/KIAA0319/LATS1/LATS2/LGMN/LIN7A/LIN7B/LIN7C/MACF1/MAEL/MAP1B/MAP2/MAP3K13/MAPT/MEF2C/MKKS/NACA/NEDD4L/NIPBL/NOTCH1/NRCAM/NRG1/OLFM1/PAFAH1B1/PARP2/PLCB1/POU3F2/PPARA/PPARD/PPIB/PTCH1/RBP4/RGMA/RGS2/RGS4/RIMS1/RTN4/RTN4R/RUFY3/SAV1/SEMA3F/SEMA3G/SEMA4F/SEMA6D/SGPL1/SOD1/SPAG9/SPP1/STAT3/SYT1/SYT4/TGFBR1/TGFBR3/ULK2/UNC13A/VGLL4/WWC1/WWC3/YAP1/YBX3/YY1/ZFPM2",100
"GO:0010038","response to metal ion","105/3836","345/18986",0.304347826086957,1.50634719136782,4.77597047398831,3.60232906915268e-06,0.000113509388969001,8.57733510991932e-05,"ABCC8/ADCY1/ADD1/AHCYL1/AKR1C3/ALOX5AP/ANK3/ANXA11/ASPH/ASS1/ATG5/ATP13A2/ATP1A2/BCL2/CALM1/CAMK2D/CAT/CAV1/CD14/CLIC4/CPNE3/CPNE4/CPNE6/CRHBP/CUTA/CYBRD1/CYP2R1/DTYMK/ECT2/EGFR/EIF2S1/ENTPD6/ERCC1/FOS/GPHN/GPLD1/GRIA1/GSS/HMOX1/HOMER1/HPCA/HSP90B1/HVCN1/ITPKB/JUND/KCNA1/KCNB1/KCNC2/KCNIP2/KCNJ10/KCNK3/KCNMB4/KCNQ3/KMT2A/LGMN/LRRK2/MAPK9/MAPT/MEF2C/MICU1/MNAT1/MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/NDRG1/NEK7/NFATC4/NPTX1/NQO1/NRXN1/P2RX7/PAM/PARK7/PCSK1/PEF1/PENK/PLSCR1/PPP1CA/PPP2CA/PPP3CA/PRNP/RYR2/RYR3/S100A8/SLC11A1/SLC12A2/SLC1A1/SLC25A12/SLC25A23/SLC30A3/SLC30A5/SNCA/STK39/SUMO1/SYT1/TCIRG1/TFRC/TNFRSF11B/TRPC1/TXNIP/UROS",105
"GO:0043269","regulation of monoatomic ion transport","138/3836","480/18986",0.2875,1.42296011470282,4.72282701211879,3.76932656157582e-06,0.000118180577069905,8.93031336191099e-05,"ABCC8/ABL1/ACTN2/AFG3L2/AHCYL1/AHNAK/AKAP5/AKAP6/AMIGO1/ANK2/ANK3/ANO6/APLNR/ASPH/ATG5/ATP1A1/ATP1A2/ATP1B1/ATP1B2/ATP2B1/ATP2B4/ATP8B1/BCL2/BIN1/CA2/CACNA1D/CACNA2D1/CACNB2/CACNB4/CALM1/CAMK2A/CAMK2B/CAMK2D/CAV1/CD84/CHP1/CHRM1/CNR1/CNTN1/COMMD1/CORO1A/CRBN/CRH/CTNNB1/CTSS/CX3CL1/CXCL10/CXCR4/DLG1/DPP6/DRD1/EHD3/EPB41/FGF12/FGF13/FGF14/FHL1/FKBP1B/FXYD7/FYN/GEM/GNB5/GPD1L/GPER1/GRIA1/GRIN1/GRIN2A/GSTO1/HEPH/HES1/HOMER1/HPCA/HSPA2/HTR2A/HTT/ITGB1/JPH3/KCNAB1/KCNAB2/KCNC2/KCNE4/KCNF1/KCNG3/KCNIP2/KCNIP4/KCNJ10/KCNJ16/KCNJ3/KCNJ4/KCNJ6/KCNN2/KLHL24/LGALS3/MYLK/NEDD4L/NKAIN4/P2RX7/P2RY12/PARK7/PDE4D/PHB2/PLCG1/PLN/PLP1/PPP3CA/PPP3CB/PPP3R1/PRKCE/PRNP/PTPN3/PXK/RGS4/RGS7/RYR2/SCN2B/SCN3B/SERPINE2/SLC8A1/SLN/SNCA/SPG11/STK39/STOM/SUMO1/TCIRG1/THY1/TMEM38A/TMX1/TRPC1/TSPAN13/UBASH3B/UBQLN1/UBR3/VAMP2/VDAC1/WNK1/YWHAH/YWHAQ",138
"GO:0031103","axon regeneration","26/3836","54/18986",0.481481481481481,2.38305719692581,5.1212627300313,3.8334403063721e-06,0.000119595746587906,9.03725062325554e-05,"BCL2/CSPG5/EPHA4/FKBP1B/GAP43/IGF1R/INPP5F/KIAA0319/KLF4/KREMEN1/LAMB2/MAP1B/MAP2K1/MTR/NEFL/NEO1/NREP/PTN/PTPRF/RGMA/RTCA/RTN4R/RTN4RL1/RTN4RL2/SPP1/TNC",26
"GO:0072006","nephron development","57/3836","160/18986",0.35625,1.76323318561001,4.8783897337954,3.91816008492392e-06,0.0001216366741635,9.1914732819268e-05,"ACAT1/AHI1/ANGPT1/ANGPT2/AQP11/ASXL1/BASP1/BCL2/BMP7/CALB1/CD24/CFLAR/CITED1/COL4A3/CTNNB1/DCHS1/DLG1/DLL1/EDNRB/EGR1/ERBB4/FGF1/FGF2/FOXC1/GLI3/GPR4/GZF1/HES1/IL6R/KLF15/LAMA5/LAMB2/LZTS2/MAGED1/MAGI2/MEF2C/MPV17/NOTCH1/NOTCH2/NUP107/NUP133/NUP85/PDGFRA/PECAM1/PLCE1/PODXL/POU3F3/PPP3CA/PTCH1/PTPRO/SALL1/SOX8/SOX9/STAT1/TMEM59L/WWTR1/YAP1",57
"GO:0060291","long-term synaptic potentiation","43/3836","110/18986",0.390909090909091,1.93477580813347,4.94751484748136,3.9799575971901e-06,0.000122378061489011,9.24749620298124e-05,"ABL1/ADCY1/AKAP5/CALB1/CRH/CX3CR1/DRD1/EPHA4/FAM107A/FXR1/GFAP/GRIA1/GRIA3/GRIN2A/GSK3B/HMGCR/LGMN/LRRTM1/MAPK1/NFATC4/NR2E1/NSG1/NTRK2/PAIP2/PLK2/PRKAR1B/PRKCG/PRKCZ/PRNP/PTN/RASGRF2/SERPINE2/SHANK2/SLC1A1/SLC24A2/SLC8A2/SLC8A3/SNAP25/SNCA/SQSTM1/TYROBP/VAMP2/ZDHHC2",43
"GO:0015800","acidic amino acid transport","32/3836","73/18986",0.438356164383562,2.16961161026754,5.03803491612535,3.9808794994045e-06,0.000122378061489011,9.24749620298124e-05,"ABCC8/ARL6IP5/ATP1A2/DTNBP1/GABBR1/GJA1/GRM1/ITGB1/KCNJ10/KCNK1/NTRK2/P2RX7/SLC12A2/SLC17A6/SLC17A7/SLC1A1/SLC1A2/SLC1A3/SLC1A4/SLC1A6/SLC25A12/SLC25A18/SLC32A1/SLC38A2/SLC3A1/SLC6A13/SLC7A11/SLC7A14/SNCA/STXBP1/SYT4/TTYH2",32
"GO:0072073","kidney epithelium development","55/3836","153/18986",0.359477124183007,1.77920559951475,4.86940963315181,4.20486368698095e-06,0.000128176048481472,9.6856209946747e-05,"ACAT1/AHI1/AQP11/ARG2/ASXL1/BASP1/BCL2/BMP7/CALB1/CAT/CD24/CITED1/CTNNB1/DCHS1/DLG1/DLL1/EDNRB/EPHA4/FGF1/FGF2/FGFR1/FGFR2/FOXC1/GDF11/GLI3/GZF1/HES1/KANK2/KLF15/LAMA5/LAMB2/LZTS2/MAGED1/MAGI2/MEF2C/NOTCH1/NOTCH2/PECAM1/PODXL/POU3F3/PTCH1/PTPRO/ROBO2/SALL1/SLIT2/SMAD1/SMAD2/SMAD5/SMAD6/SOX8/SOX9/STAT1/TMEM59L/WWTR1/YAP1",55
"GO:0008088","axo-dendritic transport","35/3836","83/18986",0.421686746987952,2.08710755430481,4.99441327483569,4.21016217639872e-06,0.000128176048481472,9.6856209946747e-05,"ACTR10/AGBL4/AGTPBP1/AP3B2/AP3M2/AP3S1/ATG16L1/ATG5/BLOC1S2/BLOC1S6/CALY/DTNBP1/DYNC1H1/HSBP1/HSPB1/KIF1B/KIF1C/KIF21A/KIF3A/KIF3B/KIFAP3/MAP2/MAPT/NDEL1/NEFL/NETO1/OPA1/PAFAH1B1/RAB27B/SOD1/SPG11/STAU2/SYBU/TRAK1/UCHL1",35
"GO:0060419","heart growth","40/3836","100/18986",0.4,1.97977059436913,4.94302368950732,4.39228660524122e-06,0.000133077837433799,0.000100560245962102,"ABL1/ACACB/AKAP6/BASP1/BMPR1A/CITED2/ERBB4/FGF2/FGF9/FGFR1/FGFR2/FOXC1/HEG1/HEY2/IGF1/JARID2/MAP2K4/MEF2C/NDRG4/NOTCH1/NRG1/PARP2/PDLIM5/PPARA/PRKAR1A/RBP4/RGS2/RGS4/S1PR1/SAV1/SKI/SMAD1/SORBS2/TGFB2/TGFBR1/TGFBR3/VGLL4/YAP1/YY1/ZFPM2",40
"GO:0048388","endosomal lumen acidification","11/3836","14/18986",0.785714285714286,3.88883509608223,5.44087182567424,4.46994571876361e-06,0.000134410266168265,0.000101567095516082,"AQP11/ATP6AP1/ATP6AP2/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V1A/ATP6V1D/ATP6V1H/CLCN3/TMEM9",11
"GO:0051961","negative regulation of nervous system development","53/3836","146/18986",0.363013698630137,1.79670961475281,4.86266465804691,4.47892032614022e-06,0.000134410266168265,0.000101567095516082,"ABCC8/BMP7/BMPR1A/CDK5/CDKL3/CTDSP1/CTNNB1/DAAM2/DAB1/DCC/DICER1/DLX1/DNAJB11/EFNB3/FGF13/GATA2/GPR37L1/HES1/ID4/IFRD1/KIAA0319/KIFAP3/LRP4/MAP2/MCF2/NFATC4/NOTCH1/NR2E1/PAX6/PCM1/PPP3CA/PTN/PTPN13/REST/RGMA/ROBO2/RTN4/RTN4R/RUFY3/SEMA3F/SEMA3G/SEMA4F/SEMA6D/SIRT2/SKI/SORL1/SOX10/SPP1/SYT4/THY1/TLR2/ULK2/YWHAH",53
"GO:0097250","mitochondrial respirasome assembly","44/3836","114/18986",0.385964912280702,1.91030495947899,4.90533479826232,4.58105845973001e-06,0.000136823840820941,0.000103390912805281,"ATPAF1/BCS1L/COA1/COA3/COX18/COX7A1/FASTKD3/HIGD1A/HIGD1B/NDUFA1/NDUFA10/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFAF1/NDUFAF4/NDUFAF5/NDUFB10/NDUFB11/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFS1/NDUFS2/NDUFS3/NDUFS7/OXA1L/SCO2/TIMM21/TMEM126A/TMEM126B/TMEM242/TMEM70/TTC19/UQCRFS1",44
"GO:0017157","regulation of exocytosis","63/3836","183/18986",0.344262295081967,1.70390092138327,4.81461748924715,4.61896724072632e-06,0.000137305337504987,0.000103754755695362,"ANXA1/ANXA2/ATP13A2/ATP2A2/ATP9A/C9orf72/CACNB4/CADPS/CADPS2/CD84/CDK5/CDK5R2/CHMP2A/CLASP2/CPLX1/CPLX2/CSPG5/DOC2A/DTNBP1/DVL1/FBXO45/FGR/FOXF1/GATA2/IL13RA2/ITGB2/KCNB1/LRRK2/NOTCH1/NSF/PCLO/PDCD6IP/PFN2/PPFIA2/PREPL/PRKCB/PRKCG/RAB15/RAB27B/RAB3C/RAP1A/REST/RIMS1/RPH3A/SCAMP5/SLC4A8/SNCA/SNX4/STAM/STX1A/STXBP1/SV2B/SYN1/SYT1/SYT13/SYT4/SYT5/SYTL4/TSG101/VAMP2/VAMP7/VAMP8/VSNL1",63
"GO:0035249","synaptic transmission, glutamatergic","43/3836","111/18986",0.387387387387387,1.91734539544759,4.87740903240988,5.23718092261161e-06,0.00015495170973849,0.000117089233970323,"ABCC8/ALS2/ATAD1/ATP1A2/CACNB4/CACNG3/CDH8/CDK5/CLCN3/CNIH3/CNR1/DRD1/DTNBP1/EGFR/FRRS1L/FXR1/GRIA1/GRIA3/GRIA4/GRIK1/GRIK2/GRIN1/GRIN2A/GRIN3A/GRM1/HOMER1/HTR2A/LRRK2/MEF2C/NAPA/NAPB/NR3C1/NRXN1/SERPINE2/SLC17A6/SLC17A7/SLC1A4/SLC38A2/STXBP1/SYT1/TPRG1L/UNC13A/UNC13B",43
"GO:0046785","microtubule polymerization","40/3836","101/18986",0.396039603960396,1.96016890531597,4.86842084524818,5.86468607896714e-06,0.000172706783503042,0.000130505852539338,"ABL1/BLOC1S2/CAMSAP1/CDK5R1/CKAP5/CLASP2/CLIP1/CLIP3/DRG1/FGF13/HAUS2/HAUS3/KIF21A/MAP1B/MAP2/MAP4/MAPRE3/MAPT/MET/NAV3/NDE1/NDEL1/NEDD1/NME7/NUMA1/PAK1/PCNT/RAC1/RANBP9/SLAIN1/SLC39A12/SNCA/STMN1/STMN2/TPPP/TUBG1/TUBG2/TUBGCP2/TUBGCP5/ZNF207",40
"GO:0007034","vacuolar transport","60/3836","173/18986",0.346820809248555,1.71656409916399,4.76417112976339,5.9072251748613e-06,0.00017315038628826,0.000130841060911004,"AKTIP/ALS2/AP3S1/ATP13A2/ATP6V0D1/BIN1/C9orf72/CACNG3/CCDC91/CHMP1B/CHMP2A/CHMP2B/CHMP4B/CHMP5/CLU/DTX3L/EHD3/EPG5/GCC2/GGA3/GPRASP1/HOOK1/KIF13A/LAMP2/LAPTM5/LEPROTL1/LIPA/LRRK2/LYST/NAGPA/NDFIP1/NDFIP2/PIK3R4/PINK1/PSAP/RHOB/SLC30A3/SORL1/SORT1/SQSTM1/STAM/TGFBRAP1/TMEM50A/TRAK1/TSG101/USE1/VAMP7/VCP/VIPAS39/VPS13A/VPS13C/VPS25/VPS28/VPS35/VPS36/VPS51/VPS53/VTA1/VTI1A/ZFYVE16",60
"GO:0009134","nucleoside diphosphate catabolic process","42/3836","108/18986",0.388888888888889,1.92477696674777,4.84963635560683,5.98196333711703e-06,0.000174076329504975,0.000131540749750373,"ALDOA/ALDOC/BPGM/COL6A1/DDIT4/EIF6/ENO2/ENTPD2/ENTPD3/ENTPD4/ENTPD5/ENTPD6/EP300/FLCN/FOXK2/GAPDH/HDAC4/HK1/HTR2A/IGF1/KAT2B/LDHA/LIPA/MTOR/NUDT18/NUDT9/NUPR1/OGT/P2RX7/PFKFB3/PFKM/PFKP/PGK1/PKM/PPARA/PPP2CA/SLC4A4/STAT3/TPI1/UCHL1/ZBTB20/ZBTB7A",42
"GO:0032388","positive regulation of intracellular transport","51/3836","140/18986",0.364285714285714,1.80300536272903,4.79856247697918,5.99405958466828e-06,0.000174076329504975,0.000131540749750373,"ACTN2/AKAP5/ANP32B/ANXA2/ASPH/BAG3/BCAP31/CALY/CAMK1/CDC42/CEP290/CHRM1/CPSF6/CTDSPL2/DMAP1/DYNC1H1/ECT2/EFCAB7/EHD2/EP300/GLI3/GSK3B/HCLS1/ICE1/IPO5/KHDRBS1/MAP2/MLC1/MSN/MTMR2/NUMA1/OAZ1/OAZ2/PCM1/PCNT/PDCD10/PGAP1/PPM1A/RAN/RAPGEF3/RIOK2/RUFY3/SFN/SORL1/STK11/TMEM30A/VAMP2/XBP1/ZDHHC2/ZFAND1/ZIC1",51
"GO:0021885","forebrain cell migration","29/3836","65/18986",0.446153846153846,2.20820566295019,4.90979982411489,7.30763264170977e-06,0.000210286305516233,0.000158902812165802,"AXL/CDK5/CDK5R1/CDK5R2/CTNNB1/CXCR4/DAB1/DRD1/EFHC1/EGFR/EMX2/FBXO45/FGF13/GLI3/LAMB1/LRRK2/MBOAT7/NDEL1/NR2E1/NRG3/P2RY12/PAFAH1B1/POU3F2/POU3F3/RTN4/SLIT2/SOCS7/SRGAP2/WDR47",29
"GO:0031122","cytoplasmic microtubule organization","29/3836","65/18986",0.446153846153846,2.20820566295019,4.90979982411489,7.30763264170977e-06,0.000210286305516233,0.000158902812165802,"CCDC88A/CHP1/CLIP1/CLIP3/DLG1/DVL1/DYNC1H1/FSD1/HOOK1/KANK1/KATNAL1/KATNB1/KIF21A/KPNB1/LIMK2/MAPT/NUMA1/PAFAH1B1/PCM1/PPFIA1/RAB11A/SLAIN1/STMN3/TBCB/TPPP/TUBG1/TUBG2/TUBGCP2/TUBGCP5",29
"GO:0032970","regulation of actin filament-based process","116/3836","395/18986",0.293670886075949,1.45350246168873,4.58316090614662,7.541293298375e-06,0.000215161382500887,0.000162586663287179,"ABL1/ABL2/ABRACL/ACTN2/ADD1/ADD2/ADD3/AKAP13/ALMS1/ANK2/ARF1/ARHGAP18/ARHGAP35/ARHGEF10/ARHGEF10L/ARHGEF26/ARPC2/ARPC3/ARPC5L/ATP1A2/ATP2A2/BAG4/BIN1/BRK1/C9orf72/CAMK2D/CAPZA2/CAV1/CCDC88A/CDC42/CDC42EP4/CDK10/CDK5R1/CFL2/CLASP2/CORO1A/CTNNA3/CTTN/CX3CL1/CYFIP2/DAAM2/DLC1/DLG1/DSTN/DVL2/ECT2/EFNA5/EPHA5/EPS8/FAM107A/FCHSD2/FERMT2/FGF13/GPM6B/GSN/HAX1/HCLS1/HIP1R/ITGB1BP1/KANK1/KANK2/LATS1/LIMA1/LPAR1/MAGEL2/MET/MKKS/MTOR/MYADM/NAA20/NGEF/PAK1/PAK3/PDE4D/PDGFA/PDGFRA/PFN2/PLN/PPFIA1/PPM1E/PREX1/PRKCE/PXN/RAC1/RAPGEF3/RASA1/RGCC/RGS4/RHOQ/RHPN2/ROCK1/RYR2/S1PR1/SCIN/SLIT2/SPTAN1/SPTBN1/STAU2/STMN1/SUMO1/SVIL/SWAP70/TAOK1/TGFBR1/TJP1/TMEFF2/TMOD1/TMSB10/TPM1/TRIOBP/TTC8/TWF1/WASF1/WASF2/WDR1/ZEB2",116
"GO:0106027","neuron projection organization","38/3836","95/18986",0.4,1.97977059436913,4.81722590497132,7.54532934508028e-06,0.000215161382500887,0.000162586663287179,"ABHD17B/ARF1/CAMK2B/CAPRIN1/CAPRIN2/CDC42/CDK5/CDK5R1/CTTN/CUX2/DHX36/DIP2A/DNM3/DTNBP1/DVL1/EFNA1/EPHA4/FYN/GSK3B/HOMER1/IGF1R/LGMN/LRRK2/MTMR2/NGEF/PAFAH1B1/PAK3/PDLIM5/PPFIA2/PRNP/SIPA1L1/SRCIN1/STAU2/TIAM1/UBE3A/VPS35/WASL/ZNF365",38
